Date,Price Change
9/11/2015,-0.0175518
9/14/2015,-0.0013743
9/15/2015,0.0463303
9/16/2015,0.0096449
9/17/2015,-0.0373426
9/18/2015,-0.0392422
9/21/2015,0.0394366
9/22/2015,-0.0401987
9/23/2015,0.0089412
9/24/2015,-0.011194
9/25/2015,0.0226415
9/28/2015,-0.0336716
9/29/2015,-0.0195704
9/30/2015,0.0029211
10/1/2015,-0.0087379
10/2/2015,-0.0259549
10/5/2015,0.0336853
10/6/2015,-0.010214
10/7/2015,0.0132678
10/8/2015,0.0223084
10/9/2015,-0.0042694
10/12/2015,-0.0042878
10/13/2015,-0.0167464
10/14/2015,-0.0360097
10/15/2015,0.0212014
10/16/2015,0
10/19/2015,0.0024716
10/20/2015,0.0212032
10/21/2015,-0.0197972
10/22/2015,-0.0024631
10/23/2015,0.028642
10/26/2015,-0.0120019
10/27/2015,-0.0145773
10/28/2015,0.0315582
10/29/2015,0.0387189
10/30/2015,-0.0101243
11/2/2015,0.0167364
11/3/2015,0.0150892
11/4/2015,0.0045045
11/5/2015,0.0067265
11/6/2015,0.0391982
11/9/2015,0.0038577
11/10/2015,-0.0085397
11/11/2015,0.0068906
11/12/2015,-0.0081266
11/13/2015,-0.0168176
11/16/2015,-0.0030702
11/17/2015,-0.0052794
11/18/2015,0.0035383
11/19/2015,-0.0092552
11/20/2015,0.0062278
11/23/2015,-0.005305
11/24/2015,-0.0031111
11/25/2015,-0.0049041
11/27/2015,-0.0031362
11/30/2015,-0.0031461
12/1/2015,-0.028404
12/2/2015,0.0106729
12/3/2015,0.0697888
12/4/2015,-0.0236052
12/7/2015,-0.021978
12/8/2015,0.0058427
12/9/2015,-0.0134048
12/10/2015,0.0140399
12/11/2015,-0.0446628
12/14/2015,0.0402057
12/15/2015,0.0193258
12/16/2015,0.0083774
12/17/2015,-0.0214254
12/18/2015,-0.0174263
12/21/2015,-0.0009095
12/22/2015,0.019117
12/23/2015,0.0111657
12/24/2015,-0.0092756
12/28/2015,-0.008025
12/29/2015,0.0368539
12/30/2015,-0.0017339
12/31/2015,-0.0147634
1/4/2016,-0.0105773
1/5/2016,0.0013363
1/6/2016,-0.0315836
1/7/2016,-0.0110243
1/8/2016,-0.0106828
1/11/2016,0.0131455
1/12/2016,-0.02595
1/13/2016,-0.0171265
1/14/2016,0.0154889
1/15/2016,-0.0309819
1/19/2016,0.0009838
1/20/2016,-0.0250614
1/21/2016,0.0176411
1/22/2016,0.0143635
1/25/2016,-0.0126953
1/26/2016,-0.0138477
1/27/2016,0.0035105
1/28/2016,-0.007996
1/29/2016,-0.027204
2/1/2016,0.0181253
2/2/2016,-0.051882
2/3/2016,0.0091202
2/4/2016,-0.0090377
2/5/2016,-0.0085837
2/8/2016,-0.0611472
2/9/2016,-0.0034582
2/10/2016,-0.0138809
2/11/2016,-0.0357771
2/12/2016,0.0632603
2/16/2016,0.0171625
2/17/2016,0.0230596
2/18/2016,-0.0329852
2/19/2016,-0.0062536
2/22/2016,0.0102975
2/23/2016,-0.0118913
2/24/2016,-0.0017192
2/25/2016,-0.0258324
2/26/2016,0.0383029
2/29/2016,-0.0124858
3/1/2016,0.054023
3/2/2016,0.0076336
3/3/2016,-0.0097403
3/4/2016,0.0289617
3/7/2016,0.0100903
3/8/2016,-0.0368034
3/9/2016,0.0327511
3/10/2016,0.019556
3/11/2016,0.0248834
3/14/2016,-0.0070814
3/15/2016,-0.0020377
3/16/2016,-0.0107198
3/17/2016,-0.0180599
3/18/2016,-0.0168156
3/21/2016,0.0277926
3/22/2016,0.0062402
3/23/2016,-0.0310078
3/24/2016,0.0133333
3/28/2016,-0.0157895
3/29/2016,-0.0299465
3/30/2016,0.0088203
3/31/2016,-0.0240437
4/1/2016,0.0033595
4/4/2016,-0.0072545
4/5/2016,-0.0292299
4/6/2016,0.0162131
4/7/2016,-0.0364672
4/8/2016,0.0171496
4/11/2016,0.0023256
4/12/2016,0.0330626
4/13/2016,-0.0106682
4/14/2016,0.0107832
4/15/2016,-0.016283
4/18/2016,0.0119863
4/19/2016,0.0056402
4/20/2016,0.0398205
4/21/2016,0.00863
4/22/2016,0.0096257
4/25/2016,0.0074153
4/26/2016,0.0152471
4/27/2016,-0.0367685
4/28/2016,-0.011828
4/29/2016,-0.0103373
5/2/2016,0.0252886
5/3/2016,-0.0348525
5/4/2016,-0.0088889
5/5/2016,-0.0207399
5/6/2016,0.0183171
5/9/2016,-0.0106802
5/10/2016,0
5/11/2016,-0.0130682
5/12/2016,0.0115141
5/13/2016,-0.0295959
5/16/2016,0.0281525
5/17/2016,0.0034227
5/18/2016,0.0687891
5/19/2016,-0.018617
5/20/2016,0.002168
5/23/2016,-0.0059492
5/24/2016,0.0114255
5/25/2016,0.0059172
5/26/2016,-0.0251337
5/27/2016,0.0153593
5/31/2016,-0.0091842
6/1/2016,0.0065431
6/2/2016,-0.0189599
6/3/2016,-0.0590834
6/6/2016,0.0111502
6/7/2016,-0.0058038
6/8/2016,-0.0040864
6/9/2016,-0.0152403
6/10/2016,-0.0244048
6/13/2016,-0.0140329
6/14/2016,-0.0030941
6/15/2016,-0.009311
6/16/2016,-0.0200501
6/17/2016,0.0345269
6/20/2016,0.0321384
6/21/2016,0.0161677
6/22/2016,-0.0070713
6/23/2016,0.0320475
6/24/2016,-0.0920069
6/27/2016,-0.0753642
6/28/2016,0.0006849
6/29/2016,0.0109514
6/30/2016,0.0074475
7/1/2016,-0.0215054
7/5/2016,-0.0611264
7/6/2016,0.0131675
7/7/2016,0.001444
7/8/2016,-0.0151406
7/11/2016,0.0497804
7/12/2016,0.0550907
7/13/2016,-0.0297422
7/14/2016,0.0429155
7/15/2016,0.0411496
7/18/2016,-0.0043915
7/19/2016,-0.0182735
7/20/2016,0.0141207
7/21/2016,-0.0094937
7/22/2016,0.0031949
7/25/2016,0.0006369
7/26/2016,-0.0050923
7/27/2016,-0.0307102
7/28/2016,-0.0026403
7/29/2016,-0.0350761
8/1/2016,0.0260631
8/2/2016,0.0274064
8/3/2016,0.0032531
8/4/2016,-0.0252918
8/5/2016,0.0525615
8/8/2016,0.0006321
8/9/2016,-0.0240051
8/10/2016,-0.023301
8/11/2016,0.0424122
8/12/2016,-0.0368722
8/15/2016,0.0250825
8/16/2016,0.01481
8/17/2016,-0.0095178
8/18/2016,-0.0160154
8/19/2016,0.0273438
8/22/2016,-0.0247148
8/23/2016,0.0090968
8/24/2016,0.0038635
8/25/2016,0.0115459
8/26/2016,0.0367787
8/29/2016,-0.0422018
8/30/2016,0.0025543
8/31/2016,-0.0012739
9/1/2016,0.0012755
9/2/2016,0.0165605
9/6/2016,-0.033208
9/7/2016,-0.0012962
9/8/2016,0.0486697
9/9/2016,0.0346535
9/12/2016,0
9/13/2016,0.0370813
9/14/2016,-0.0259516
9/15/2016,0.0082889
9/16/2016,-0.0011744
9/19/2016,-0.0029394
9/20/2016,-0.004717
9/21/2016,-0.0118483
9/22/2016,-0.0215827
9/23/2016,-0.0104167
9/26/2016,-0.0160991
9/27/2016,-0.0207678
9/28/2016,0.0070694
9/29/2016,-0.0063816
9/30/2016,0.0327553
10/3/2016,0.0087065
10/4/2016,0.0376079
10/5/2016,0.0196078
10/6/2016,0.0151515
10/7/2016,-0.0034443
10/10/2016,-0.0074885
10/11/2016,0.0208938
10/12/2016,0.0108016
10/13/2016,-0.0224972
10/14/2016,0.0322209
10/17/2016,-0.0156076
10/18/2016,-0.0096263
10/19/2016,0.0017153
10/20/2016,-0.0028539
10/21/2016,-0.0040069
10/24/2016,0.0132184
10/25/2016,-0.0028361
10/26/2016,0.0182025
10/27/2016,0.0296089
10/28/2016,0.0010852
10/31/2016,-0.0059621
11/1/2016,-0.0076336
11/2/2016,-0.0115385
11/3/2016,0.0072262
11/4/2016,-0.0160044
11/7/2016,0.0252384
11/8/2016,0.0185996
11/9/2016,0.112782
11/10/2016,0.0217181
11/14/2016,0.0495985
11/15/2016,0.0072007
11/16/2016,-0.0067024
11/17/2016,0.0238417
